Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID
CHEMBL3086274;;0;417.39;None;None;7b;O=c1c2ccc(F)cc2[se]n1CCC1CCN(Cc2ccccc2)CC1;IC50;;;;;;Not Determined;;;;;;False;CHEMBL3089063;Inhibition of human erythrocyte AChE using acetylthiocholine chloride as substrate preincubated for 15 mins followed by substrate addition measured every 1 min by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3085626;1;Scientific Literature;J. Med. Chem.;2013;None
CHEMBL1479;DANAZOL;4;337.46;0;4.22;DANAZOL;C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL139835;CYPROTERONE ACETATE;4;416.95;0;4.61;CYPROTERONE ACETATE;CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL513;CARMUSTINE;4;214.05;0;1.16;CARMUSTINE;O=NN(CCCl)C(=O)NCCCl;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL1200709;CROTAMITON;4;203.28;0;2.92;CROTAMITON;C/C=C/C(=O)N(CC)c1ccccc1C;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL282575;ESTRADIOL BENZOATE;4;376.50;1;5.12;BETA-ESTRADIOL 3-BENZOATE;C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL3087681;;0;788.98;2;8.66;7;CC(C(=O)NCCCCCCNC1=CC(=O)C(NCCCCCCNC(=O)C(C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1;IC50;'>';20000.0;nM;;;;UO_0000065;;;;;False;CHEMBL3089681;Inhibition of human recombinant AChE by Ellman's assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3085683;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None
CHEMBL2234531;;0;393.49;0;3.95;C7;CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@@H]1c1ccccc1OC)CCCC3;IC50;'=';158.49;nM;6.80;;;UO_0000065;17.28;0.32;2.85;7.86;False;CHEMBL3047076;Inhibition of AChE (unknown origin) using acetylthiocholine chloride as substrate after 15 min by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3045165;1;Scientific Literature;Med Chem Res;2012;None
CHEMBL62193;SULFADIMETHOXINE;4;310.34;0;0.88;SULFADIMETHOXINE;COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL2441680;;0;543.44;0;3.89;44;COc1ccc(C(F)(F)F)c[n+]1CCCOc1ccc2c(C)cc(=O)oc2c1.O=S(=O)([O-])C(F)(F)F;IC50;'=';3600.0;nM;5.44;;;UO_0000065;13.80;0.27;1.55;10.36;False;CHEMBL2443822;Reversible inhibition of human recombinant AChE using acetylthiocholine iodide as substrate measured after 2 hrs by Ellmans method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2440015;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None
CHEMBL2441681;;0;557.47;0;4.28;45;COc1ccc(C(F)(F)F)c[n+]1CCCCOc1ccc2c(C)cc(=O)oc2c1.O=S(=O)([O-])C(F)(F)F;IC50;'=';760.0;nM;6.12;;;UO_0000065;14.98;0.29;1.84;11.64;False;CHEMBL2443821;Reversible inhibition of human recombinant AChE using acetylthiocholine iodide as substrate measured at initial time point by Ellmans method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2440015;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None
CHEMBL27673;METHOCTRAMINE;0;582.92;2;7.22;2;COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC;IC50;'=';5370.32;nM;5.27;;;UO_0000065;9.04;0.17;-1.95;7.92;False;CHEMBL638449;Inhibitory concentration against acetylcholinesterase from human erythrocytes;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1136713;1;Scientific Literature;J. Med. Chem.;2003;None
CHEMBL2441677;;0;413.34;0;2.16;34;COc1ccc(C(F)(F)F)c[n+]1CCCCCO.O=S(=O)([O-])C(F)(F)F;IC50;'=';131000.0;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL2443822;Reversible inhibition of human recombinant AChE using acetylthiocholine iodide as substrate measured after 2 hrs by Ellmans method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2440015;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None
CHEMBL2441679;;0;722.52;0;4.19;36;COc1ccc(C(F)(F)F)c[n+]1CCCCC[n+]1cc(C(F)(F)F)ccc1OC.O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F;IC50;'=';22000.0;nM;4.66;;;UO_0000065;10.98;0.22;0.47;17.76;False;CHEMBL2443821;Reversible inhibition of human recombinant AChE using acetylthiocholine iodide as substrate measured at initial time point by Ellmans method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2440015;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None
CHEMBL2441670;;0;684.67;0;3.06;22;COc1cc2c(cc1OC)C[N+](C)(CCCCc1cccc(OC)[n+]1C)CC2.O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F;IC50;'=';5200.0;nM;5.28;;;UO_0000065;13.67;0.26;2.22;16.74;False;CHEMBL2443821;Reversible inhibition of human recombinant AChE using acetylthiocholine iodide as substrate measured at initial time point by Ellmans method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2440015;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None
CHEMBL328468;;0;375.47;0;4.17;2c;O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1;IC50;'=';0.95;nM;9.02;;;UO_0000065;24.03;0.44;4.85;15.46;True;CHEMBL644837;In vitro inhibition of Acetylcholinesterase from human erythrocytes;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1128477;1;Scientific Literature;J. Med. Chem.;1995;None
CHEMBL614;PYRAZINAMIDE;4;123.11;0;-0.42;PYRAZINAMIDE;NC(=O)c1cnccn1;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL109869;;0;268.33;0;3.95;rac17;CC1=CC2Cc3nc4cccc(F)c4c(N)c3C(C1)C2;IC50;'=';35.4;nM;7.45;;;UO_0000065;27.77;0.51;3.50;19.15;False;CHEMBL644108;Inhibition of acetylcholinesterase isolated from Human erythrocytes.;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1133449;1;Scientific Literature;J. Med. Chem.;2000;None
CHEMBL1200406;DIMENHYDRINATE;4;469.97;None;None;DIMENHYDRINATE;CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL2088786;;0;388.52;0;3.90;8;N#Cc1cc(C#N)c(NCCCCC2CCN(Cc3ccccc3)CC2)nc1N;IC50;'=';70.0;nM;7.16;;;UO_0000065;18.42;0.34;3.25;7.03;False;CHEMBL2090206;Inhibition of human erythrocyte AChE using acetylthiocholine as substrate by Ellman method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2086277;1;Scientific Literature;Eur. J. Med. Chem.;2012;None
CHEMBL3133434;;0;627.41;2;5.46;14c;O=C(CN1CCN(Cc2ccccc2)CC1)NC1c2cnn(-c3ccccc3)c2-c2c(Br)sc(Br)c21;IC50;'=';870.0;nM;6.06;;;UO_0000065;9.66;0.23;0.60;11.35;False;CHEMBL3135735;Inhibition of human erythrocyte AChE using acetylthiocholine chloride by spectrophotometry;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3132857;1;Scientific Literature;MedChemComm;2013;None
CHEMBL3133444;;0;393.52;0;2.48;12b;O=C(CN1CCN(Cc2ccccc2)CC1)NC1c2cn[nH]c2-c2sccc21;IC50;'=';9180.0;nM;5.04;;;UO_0000065;12.80;0.25;2.56;7.84;False;CHEMBL3135735;Inhibition of human erythrocyte AChE using acetylthiocholine chloride by spectrophotometry;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3132857;1;Scientific Literature;MedChemComm;2013;None
CHEMBL636;RIVASTIGMINE;4;250.34;0;2.76;Rivastigmine;CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1;IC50;'=';1540.0;nM;5.81;;;UO_0000065;23.22;0.44;3.05;17.73;False;CHEMBL3119244;Inhibition of human AChE using acetylthiocholine as substrate by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3112400;1;Scientific Literature;Eur. J. Med. Chem.;2014;None
CHEMBL1256017;ARCAINE SULFATE;0;270.31;1;-1.27;ARCAINE SULFATE;N=C(N)NCCCCNC(=N)N.O=S(=O)(O)O;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL1127;7-HYDROXYTACRINE;0;214.27;0;1.67;4;Nc1c2c(nc3ccccc13)CC(O)CC2;IC50;'=';623.0;nM;6.21;;;UO_0000065;28.96;0.53;4.54;10.49;False;CHEMBL642294;Inhibition of Acetylcholinesterase in human red blood cell;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1129252;1;Scientific Literature;J. Med. Chem.;1996;None
CHEMBL51934;VELNACRINE;0;214.27;0;2.19;2;Nc1c2c(nc3ccccc13)CCCC2O;IC50;'=';954.0;nM;6.02;;;UO_0000065;28.10;0.51;3.83;10.18;False;CHEMBL637615;Inhibition of Acetylcholinesterase in monkey red blood cell;B;BAO_0000357;single protein format;Cercopithecidae;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1129252;1;Scientific Literature;J. Med. Chem.;1996;None
CHEMBL1159650;CLOBETASOL PROPIONATE;4;466.98;0;4.10;CLOBETASOL PROPIONATE;CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL1729;CISAPRIDE;4;465.95;0;3.36;CISAPRIDE;COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL1651038;BUXAMINOL C;0;414.68;1;5.02;10;CN[C@H]1CCC2=CC3=CC[C@]4(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]4(C)[C@@H]3CC[C@H]2C1(C)C;IC50;'=';40000.0;nM;4.40;;;UO_0000065;10.61;0.20;-0.62;12.39;False;CHEMBL1663835;Inhibition of AChE by Ellman's method;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1649337;1;Scientific Literature;J. Nat. Prod.;2010;None
CHEMBL1651044;CYCLONATAMINOL;0;444.70;0;4.02;3;C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C=C[C@H]4C(C)(C)[C@@H](N(C)C)[C@H](O)C[C@@]45C[C@@]35CC[C@]12C)N(C)C;IC50;'=';22900.0;nM;4.64;;;UO_0000065;10.43;0.20;0.62;9.89;False;CHEMBL1663835;Inhibition of AChE by Ellman's method;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1649337;1;Scientific Literature;J. Nat. Prod.;2010;None
CHEMBL544166;;0;336.86;0;3.08;22c;C#CCN(C)C1CCc2cccc(OC(=O)N(C)CCC)c21.Cl;IC50;'>>';1000000.0;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL645005;In vitro inhibitory concentration against purified Acetylcholinesterase of human erythrocytes;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135657;1;Scientific Literature;J. Med. Chem.;2002;None
CHEMBL359288;;0;257.33;0;3.19;27a;C#CCC1CCCc2ccc(OC(=O)N(C)C)cc21;IC50;'=';3940.0;nM;5.41;;;UO_0000065;21.00;0.39;2.21;18.30;False;CHEMBL646051;"In vitro inhibitory concentration against purified Acetylcholinesterase of human erythrocytes; value ranges from 3.18-5.07";B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135657;1;Scientific Literature;J. Med. Chem.;2002;None
CHEMBL347729;;0;309.37;0;0.41;13;CN(C)Cc1ccc(CNCCN2CCN/C2=C\[N+](=O)[O-])o1;IC50;'>';2000.0;nM;;;;UO_0000065;;;;;False;CHEMBL636834;Inhibition of guinea pig acetylcholinesterase;B;BAO_0000357;single protein format;Cavia porcellus;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1126972;1;Scientific Literature;J. Med. Chem.;1993;None
CHEMBL297316;;0;320.82;0;2.24;1s;C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-];IC50;'>';1000000.0;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL644102;Reversible inhibition of Human AchE;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1123431;1;Scientific Literature;J. Med. Chem.;1986;None
CHEMBL46151;;0;310.42;0;2.74;1f;CCN(CC)CCS/C(=N\O)C(=O)c1ccc(OC)cc1;IC50;'=';260000.0;nM;;Outside typical range;;UO_0000065;;;;;False;CHEMBL644102;Reversible inhibition of Human AchE;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1123431;1;Scientific Literature;J. Med. Chem.;1986;None
CHEMBL335112;;0;398.92;1;5.21;4c;CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1)c1ccccc1;IC50;;;;;;Non classical inhibitor;;;;;;False;CHEMBL643385;"Inhibitory concentration against acetylcholinesterase; non classical inhibitor, maximum HSL inhibition of 50%";B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1148382;1;Scientific Literature;J. Med. Chem.;2004;None
CHEMBL1306;TERCONAZOLE;4;532.47;1;4.46;TERCONAZOLE;CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1;IC50;'=';21573.0;nM;4.67;;;UO_0000065;8.76;0.18;0.21;7.19;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL155746;;0;267.37;0;3.25;12;CN1CCC(/C=C/C=C2\Cc3ccccc3C2=O)CC1;IC50;'=';3.0;nM;8.52;;;UO_0000065;31.88;0.58;5.27;41.96;False;CHEMBL643386;Inhibition of acetylcholinesterase activity;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1126158;1;Scientific Literature;J. Med. Chem.;1992;None
CHEMBL3809337;;0;368.39;0;4.09;12;COc1cc2occ(-c3ccc(O)cc3O)c(=O)c2c(O)c1CC=C(C)C;IC50;'=';9900.0;nM;5.00;;;UO_0000065;13.58;0.25;0.91;5.00;False;CHEMBL3810637;Inhibition AChE (unknown origin) using ATCI as substrate assessed as hydrolysis of ATCI after 10 mins measured every 1 min for 10 times;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3808312;1;Scientific Literature;J. Nat. Prod.;2016;None
CHEMBL555592;;0;322.84;0;2.74;18c;C#CCNC1CCc2ccc(OC(=O)N(C)CCC)cc21.Cl;IC50;'=';14600.0;nM;4.84;;;UO_0000065;16.89;0.31;2.10;11.63;False;CHEMBL641289;"In vitro inhibitory concentration against purified Acetylcholinesterase of human erythrocytes; value ranges from 6.4-45.9";B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135657;1;Scientific Literature;J. Med. Chem.;2002;None
CHEMBL371428;;0;187.24;0;1.60;(R)-39u;C#CCN[C@@H]1CCc2ccc(O)cc21;IC50;;;;;;No data;;;;;;False;CHEMBL643062;In vitro inhibitory concentration against purified Acetylcholinesterase of human erythrocytes.;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135657;1;Scientific Literature;J. Med. Chem.;2002;None
CHEMBL468000;;0;391.49;0;4.88;2;CC1(C)CC(=O)C2=C(C1)Nc1nc3c(c(N)c1C2c1ccc(F)cc1)CCCC3;IC50;'=';1600.0;nM;5.80;;;UO_0000065;14.80;0.27;0.92;8.52;False;CHEMBL967995;Inhibition of human erythrocyte AChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1155914;1;Scientific Literature;Bioorg. Med. Chem.;2008;None
CHEMBL95;TACRINE;4;198.27;0;2.70;tacrine;Nc1c2c(nc3ccccc13)CCCC2;IC50;'=';150.0;nM;6.82;;;UO_0000065;34.42;0.62;4.12;17.54;True;CHEMBL967995;Inhibition of human erythrocyte AChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1155914;1;Scientific Literature;Bioorg. Med. Chem.;2008;None
CHEMBL147412;;0;201.27;0;1.94;40w;C#CCN(C)C1CCc2c(O)cccc21;IC50;;;;;;No data;;;;;;False;CHEMBL643062;In vitro inhibitory concentration against purified Acetylcholinesterase of human erythrocytes.;B;BAO_0000019;assay format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135657;1;Scientific Literature;J. Med. Chem.;2002;None
CHEMBL335158;;0;406.98;1;5.72;3i;CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1;IC50;'<';10.0;nM;;;;UO_0000065;;;;;False;CHEMBL643384;Inhibitory concentration against acetylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1148382;1;Scientific Literature;J. Med. Chem.;2004;None
CHEMBL88;CYCLOPHOSPHAMIDE;4;261.09;0;1.88;CYCLOPHOSPHAMIDE;O=P1(N(CCCl)CCCl)NCCCO1;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
CHEMBL2448076;;0;706.16;2;8.64;24.2HCl;Cl.Cl.O=C(CCc1ccc2nc(-c3ccccc3)c3c(c2c1)OCCC3)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2;IC50;'=';9.64;nM;8.02;;;UO_0000065;12.66;0.24;-0.62;10.53;False;CHEMBL1051649;Inhibition of AChE in human erythrocytes by Ellman's method;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1152433;1;Scientific Literature;J. Med. Chem.;2009;None
CHEMBL1834811;;0;380.44;1;5.35;6;CC[C@H](C)C(=O)OCCCc1ccc2oc(-c3ccc4c(c3)OCO4)cc2c1;IC50;'=';6100.0;nM;5.21;;;UO_0000065;13.71;0.25;-0.14;9.01;False;CHEMBL1840095;Inhibition of human recombinant AChE using acetylthiocholine iodide as substrate by spectrophotometric method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1833820;1;Scientific Literature;J. Nat. Prod.;2011;None
CHEMBL1909048;;0;313.83;0;4.43;1-(2-CHLOROBENZOYL)-4-(PHENYLMETHYL)-PIPERIDINE;O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1;IC50;;;;;;Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured);;;;;;False;CHEMBL1909212;DRUGMATRIX: Acetylcholinesterase enzyme inhibition (substrate: acetylthiocholine);B;BAO_0000219;cell-based format;None;None;None;HEK293;None;CHEMBL220;Acetylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1909046;15;DrugMatrix;;;CHEMBL3307715
